Nom piyin sans accent,Nom latin,Nom botanique,Partie employée,Saveur,Nature,Tropisme,Fonctions,Indications,Combinaisons,Mode d’emploi et dosage,Toxicité,Précautions et contre-indications,Recherche clinique,Formules de référence,Commentaires
Xiang Ru,Herba Elsholtziae,Elsholtzia splendens Nakai ex Maekwa,la plante entière,piquante et aromatique,légèrement tiède,Shou Tai Yin Poumon et Zu Yang Ming Estomac,Induit la transpiration. / Libère la surface / Elimine la chaleur estivale / Transforme l’humidité / Favorise la diurèse / Réduit l’œdème,"Attaque de vent-froid pendant la saison d’été avec fièvre, crainte du froid, absence de transpiration, céphalées, vomissements et diarrhées. / Œdèmes avec troubles de la miction, surtout par cause externe.","Plus Huo Xiang, Herba Agastaches pour l’attaque de la chaleur caniculaire accompagnée d’humidité. / Plus Bai Bian Dou, Semen Dolichoris pour le vomissement et la diarrhée par attaque de froid externe en été. La même herbe plus Hou Po, Cortex Magnoliae le pour froid externe et l’humidité interne, généralement à l’occasion d’une insolation. / Plus Bai Zhu, Rhizoma Atractylodis Albae pour le vomissement et la diarrhée par froid externe et humidité interne, induite par un excès d’aliments crus ou froids. Même combinaison pour les œdèmes par accumulation de froid-humidité. / Plus Bai Mao Gen, Rhizoma Imperatae et Yi Mu Cao, Herba Leonuri pour l’œdème avec fièvre, absence de transpiration, urine foncée et peu abondante.",3 à 10 g en décoction.,,vide de la surface.,,Ru Zhu Wan / Xiang Ru Yin,"on appelle cette herbe le ""Ma Huang"" de l’été."
Xin Yi Hua,Flos Magnoliae Liliflorae,Magnolia liliflora Desr.,fleur,piquante,tiède,Shou Tai Yin Poumon et Zu Yang Ming Estomac,Disperse le vent et le froid / Ouvre l’orifice du nez,"□ Ecoulement nasal avec obstruction nasale, céphalée, perte de l’odorat, soit par le froid, soit par la chaleur.","Plus Xi Xin, Herba Asari cum Radice, Bai Zhi, Radix Angelicae Dahuricae et Cang Er Zi, Fructus Xanthii pour l’obstruction nasale avec céphalée, rhinorrhée, perte de l’olfaction causées par le froid. / Plus Bo He, Herba Menthae et Huang Qin, Radix Scutellariae pour la rhinorrhée par la chaleur.",3 à 10 g en infusion.,,,"stimulant utérin, antimycotique.",Cang Er San / Xin Yi San,
Zi Su Ye,Folium Perillae,Perilla Frutescens,feuille,piquante et aromatique,tiède,Shou Tai Yin Poumon et Zu Tai Yin Rate,Libère la surface / Disperse le froid / Fait circuler le Qi / Harmonise le centre / Calme le foetus / Elimine les éléments toxiques d’origine alimentaire (produits de la mer).,"Attaque de vent-froid avec rhumes légers et fièvre, frilosité, céphalée, obstruction nasale, toux. / Stagnation du Qi de l’Estomac et de la Rate avec sensation de plénitude au niveau de la poitrine et vomissements. / Intoxication alimentaire due aux poissons et crustacés avec douleurs abdominales, diarrhée et vomissements.","Plus Huo Xiang, Herba Agastaches pour libérer la surface, régler le Qi, réchauffer le foyer moyen et transformer l’énergie trouble produisant des douleurs abdominales, des vomissements et de la diarrhée. / Plus Jie Geng, Radix Platycodi pour les attaques externes avec congestion nasale et toux productive. L’adjonction de Ku Xing Ren, Semen Armeniacae Amarae et Qian Hu, Radix Peucedani améliore le contrôle de la toux. / Plus Sha Ren, Fructus Amomi Villosi pour une sensation de plénitude et de congestion dans la poitrine et l’abdomen. Aussi pour l’agitation du fœtus par stase de Qi. / Plus Huang Lian, Rhizoma Coptidis pour le vomissement et l’irritabilité pendant la grossesse. / Plus Sheng Jiang, Rhizoma Zingiberis Recens pour l’intoxication par les produits de la mer.",3 à 10 g en décoction courte.,,atteintes externes avec vide de la surface et transpiration importante; chaleur-humidité.,"antipyrétique, antimicrobien.",Xiang Su Yin / Zi Su Tang / Zi Su Yin,"La tige Zi Su Geng, Caulis Perillae est piquante, douce et tiède. Elle entre dans les méridiens du Poumon, de la Rate et de l’Estomac. Elle active la circulation de Qi dans la poitrine et calme un fœtus agité. Elle aide à descendre les aliments. Dosage : 5 à 10 g en décoction courte."
Bo He,Herba Menthae,Mentha haplocalyx Arvensis,les tiges et les feuilles,piquante et aromatique,fraîche,Zu Jue Yin Foie et Shou Tai Yin Poumon,Disperse la chaleur et le vent. / Clarifie les yeux et la tête. / Favorise la gorge. / Active la libre circulation du Qi du Foie. / Fait sortir les éruptions. / Adoucit les démangeaisons,"Rhume dû au vent et à la chaleur ou à la chaleur fébrile, avec fièvre, absence de transpiration, courbatures, céphalée et toux. / Céphalée, douleur oculaire et mal de gorge dus au vent-chaleur. / Stade précoce des maladies éruptives telles que la rougeole. / Stagnation du Qi du Foie avec oppression de la région hypochondriaque et du thorax, instabilité émotionnelle, problèmes gynécologiques. / Vertige par atteinte de la chaleur caniculaire.","Plus Ju Hua, Flos Chrysanthemi Morifolii pour la céphalée par vent-chaleur externe et pour la céphalée, les yeux rouges et douloureux par plénitude du feu du Foie. / Plus Xia Ku Cao, Spica Prunellae pour les yeux rouges et la scrofule. / Plus Jie Geng, Radix Platycodi pour la gorge enflée et douloureuse. / Plus Bai Jiang Cao, Herba Patriniae, Chan Tui, Periostracum Cicadae et Quan Xie, Buthus Martensis pour les convulsions infantiles et le prurit. / Plus Niu Bang Zi, Fructus Arctii pour les éruptions dues au vent-chaleur, la gorge sèche et la toux avec expectoration jaune, apparition défectueuse des éruptions de la rougeole, éruptions accompagnées de prurit. / Plus Jin Yin Hua, Flos Lonicerae et Lian Qiao, Fructus Forsythiae pour l’attaque de vent-chaleur externe avec chaleur importante.",2 à 10 g en infusion.,"Ld50 du menthol en suspension est de 800 à 1000 mg/kg per os chez la souris. Recherche clinique : sudorifique, antipyrétique, antiviral, antibactérien, anthelminthique, mucolytique.",vide de Yin et chaleur vide; montée du Yang du Foie; vide de la surface et transpiration spontanée.,,Bo He Tang / Fang Feng Tong Sheng San / Jing Fang Bai Du Tang / Yin Qiao San,
Chai Hu,Radix Bupleuri,Bupleurum Scorzoneraefolium Wild.,racine,légèrement piquante et amère,fraîche,"Zu Jue Yin Foie, Shou Jue Yin Péricarde, Zu Shao Yang Vésicule Biliaire et Shou Shao Yang Triple Foyer",Libère le niveau Shao Yang / Clarifie la chaleur / Débloque le Qi du Foie et élimine la stagnation / Fait monter le Yang,"Syndrome d’atteinte externe du Shao Yang, mi Biao, mi Li, avec alternance de frissons et de fièvre, saveur amère dans la bouche, douleurs hypochondriaques, vomissements, oppression de la poitrine. / Obstruction du Qi du Foie avec vertige, douleurs des flancs et du thorax, instabilité émotionnelle, problèmes menstruels. / Dysharmonie du Foie et de la Rate avec douleurs épigastriques et hypochondriaques, sensation de constriction de la poitrine, ballonnement abdominal, nausée, indigestion. / Effondrement du Qi central par vide de la Rate et de l’Estomac avec hémorroïdes, prolapsus anal ou utérin, diarrhée.","Plus Huang Qin, Radix Scutellariae pour la chaleur au niveau Shao Yang, pour restaurer le fonctionnement normal du Foie et de la Vésicule Biliaire et pour éliminer la chaleur-humidité interne. / Plus Bai Shao, Radix Paeoniae Albae pour le vertige et les éblouissements, la douleur thoracique et costale, les menstruations irrégulières causées par la stagnation du Qi du Foie. / Plus Bai Shao, Radix Paeoniae Albae, Dang Gui, Radix Angelicae Sinensis et Chuan Xiong, Radix Ligustici Wallichii pour harmoniser le Sang. / Plus Bai Shao, Radix Paeoniae Albae, Dang Shen, Radix Codonopsitis et Bai Zhu, Rhizoma Atractylodis Albae pour tonifier le Qi. / Plus Zhi Ke, Fructus Citri pour éliminer la constriction de la poitrine, la douleur abdominale, la perte de l’appétit et les selles irrégulières par dysharmonie du Foie et de la Rate. / Plus Qiang Huo, Radix Notopterygii et Fang Feng, Radix Ledebourelliae pour la lourdeur du corps, la douleur des extrémités, le goût amer dans la bouche et la sécheresse de la gorge dans un vide de Rate complique d’humidité. / Plus Qing Pi, Pericarpium Citri Reticulatae Viride pour la stagnation du Qi du Foie causant la douleur intercostale. / Plus Gan Cao, Radix Glycyrrhizae pour la douleur de l’abdomen supérieur droit.",3 à 12 g en décoction.,"effets secondaires possibles ; en doses légères: sédation et sensation de fatigue peu marquées; en doses importantes: fatigue, insomnie, diminution des performances, perte de l’appétit.",toux par vide de Yin et montée du Yang du Foie.,"antipyrétique, sédatif, analgésique, antitussif, anti-inflammatoire, cholagogue, cholérétique, hyperglycémiant; tonique de l’immunité cellulaire, diurétique, antibactérien.","Chai Hu est une herbe-guide des méridiens de la Vésicule Biliaire, du Foie, du Péricarde et du Triple Foyer.",
Chan Yi,Periostracum Cicadae,Cryptotympana atrata Fabr.,mue de cigale,douce et salée,légèrement froide,Zu Jue Yin Foie et Shou Tai Yin Poumon,Elimine le vent / Clarifie la chaleur / Arrête le prurit / Calme les spasmes / Favorise les éruptions / Clarifie la vue,"Attaque externe de vent-chaleur ou de chaleur fébrile avec perte de voix, gorge gonflée et douloureuse. / Eruptions par vent-chaleur qui s’extériorisent insuffisamment. / Prurit du au vent pervers qui obstrue la surface. / Convulsions infantiles, spasmes, délire, cauchemars. / Insomnie, irritabilité, agitation, notamment chez les enfants après une maladie fébrile. / Vent-chaleur produisant des problèmes oculaires, tels que les yeux rouges, gonflés et douloureux avec difficultés de vision.","Plus Bo He, Herba Menthae pour l’éruption insuffisante de la rougeole, les éruptions du type vent, les yeux rouges et irrités. / Plus Bo He, Herba Menthae, Ju Hua, Flos Chrysanthemi Morifolii, Sang Ye, Folium Mori pour renforcer la dispersion du vent. / Plus Pang Da Hai, Semen Sterculiae pour la voix rauque par vent-chaleur.",3 à 10 g en décoction standard. / Jusqu’à 30 g pour la tétanie.,,vide de la surface ; la grossesse.,"anticonvulsif, sédatif, antipyrétique.",Chan Hua San / Chan Jie San / Chan Tui San / Wu Hu Zhui Feng San,
Dan Dou Chi,Semen Sojae Praeparatum,Glycine max (L.),graine,douce et légèrement amère,neutre et plutôt fraîche,"Shou Tai Yin Poumon, Zu Tai Yin Rate et Zu Yang Ming Estomac",Libère le Biao / Calme l’anxiété et l’irritabilité,"Attaques de la surface par vent-froid ou vent-chaleur. / Attaques externes sur base d’un vide de Yin. / Anxiété, insomnie, agitation, irritabilité par chaleur résiduelle après une maladie fébrile.","Plus Cong Bai, Herba Allii Fistulosi au début d’une attaque externe avec fièvre sans transpiration, douleur et distension épigastriques, même dans le vide de Yin. / Plus Zhi Zi, Fructus Gardeniae pour l’insomnie et l’irritabilité résiduelle d’une maladie de la chaleur fébrile. / Plus Lu Lu Tong, Fructus Liquidambaris et Di Gu Pi, Cortex Lycii Radicis pour le sang dans les urines.",6 à 15 g en décoction.,,diminue la lactation.,sudorifique.,"cette herbe est préparée au Qing Hao, Herba Artemisiae Apiaceae, ce qui lui confère une énergie plutôt fraîche. Présentée sous le même nom ou appelée Xiang Dou Chi, la variante préparée notamment au Zi Su Ye, Folium Perillae et au Ma Huang, Herba Ephedrae possède une énergie plutôt tiède. Les indications restent sensiblement les mêmes, avec les différences dictées par les énergies respectives.",
Fu Ping,Herba Lemnae Herba Spirodelae,Spirodela polyrrhiza Schield.,la plante entière,piquante,froide,"Shou Tai Yin Poumon, Zu Tai Yang Vessie",Libère le Biao / Induit là transpiration / Favorise les éruptions / Calme le prurit / Fait circuler l’eau et réduit le gonflement,"Attaque externe par le vent-chaleur avec douleurs de la tête et du corps. / Eruptions de la rougeole apparaissant insuffisamment. / Oedème de la partie supérieure du corps et dysurie, dans un syndrome de la surface. / Vent-chaleur causant des éruptions insuffisantes et du prurit.","Plus Bai Ji Li, Fructus Tribuli, Niu Bang Zi, Fructus Arctii et Bo He, Herba Menthae pour le rhume accompagné de fièvre et de céphalée. / Plus Bo He, Herba Menthae, Chan Tui, Periostracum Cicadae et Sheng Ma, Rhizoma Cimicifugae pour la rougeole et les éruptions venteuses.",3 à 6 g en décoction.,,vide de la surface.,"antipyrétique, diurétique.","le Fu Ping est une des rares herbes piquantes et fraîches pour libérer la surface, qui possède un pouvoir sudorifiant important.",
Ge Gen,Radix Puerariae,Pueraria lobota (Willd.) Ohwi,racine,douce et piquante,fraîche,Zu Yang Ming Estomac et Zu Tai Yin Rate,Libère les muscles / Clarifie la chaleur / Nourrit les liquides / Etanche la soif / Favorise les éruptions de la rougeole / Fait monter le Yang clair et profite aux orifices supérieurs / Fait remonter les liquides / Calme la diarrhée,"Attaque externe de vent-froid pénétrant jusqu’au niveau musculaire avec fièvre, céphalée, raideur et tension de la nuque et du haut du dos, absence de transpiration. / Attaque externe de vent-chaleur avec céphalée, fièvre, yeux douloureux, gorge sèche. / Chaleur de l’Estomac avec soif et bouche sèche dans le syndrome de la consomption Xiao Ke (diabétiforme). / Vent-chaleur avec éruptions incomplètes de la rougeole. / Diarrhée par la chaleur ou le vide de la Rate. / Chaleur-humidité causant la dysenterie.","Plus Ma Huang, Herba Ephedrae, Gui Zhi, Ramulus Cinnamomi et Bai Shao, Radix Paeoniae Albae pour l’attaque externe de vent-froid causant la céphalée et la douleur de la nuque, du haut du dos et des épaules. / Plus Chai Hu, Radix Bupleuri et Huang Qin, Radix Scutellariae pour l’attaque de vent-chaleur causant la céphalée, les yeux douloureux et la gorge sèche. / PlusTian Hua Fen, Radix Trichosanthis et Mai Men Dong, Tuber Ophiopogonis, pour étancher la soif dans la chaleur de l’Estomac et le syndrome de consomption Xiao Ke (diabétiforme). / Plus Sheng Ma, Rhizoma Cimicifugae, Jing Jie, Herba Schizonepetae et Bo He, Herba Menthae pour le stade précoce de la rougeole, avant l’apparition des éruptions. / Plus Shan Yao, Radix Dioscoreae, pour la diarrhée par la chaleur avec lésion des liquides ou pour la diarrhée par vide de Rate. / Plus Huang Lian, Rhizoma Coptidis et Huang Qin, Radix Scutellariae pour la dysenterie causée par la chaleur-humidité. / Plus Bai Zhu, Rhizoma Atractylodis Albae et Fu Ling, Sclerotium Poriae pour la diarrhée par vide de Rate. / Plus Ju Hua, Flos Chrysanthemi Morifolii pour la gueule de bois. / Plus Chai Hu, Radix Bupleuri, pour l’attaque de vent-chaleur externe.",5 à 20 g en décoction.,,,"circulatoire sanguin, hypotenseur, bêtabloquant, antispasmodique, antipyrétique, hypoglycémiant sanguin.",3 à 12 g.,
Ju Hua,Flos Chrysanthemi Morifolii,Chrysanthemum Morifolium Ramat.,fleurs,"piquante, douce et amère",fraîche,Zu Jue Yin Foie et Shou Tai Yin Poumons,Disperse le vent / Elimine la chaleur / Purifie la chaleur du Foie / Calme le Foie et élimine le vent interne / Elimine les toxiques / Clarifie la vue,"Atteinte externe par la chaleur et le vent ou la chaleur fébrile avec fièvre et céphalée. / Vent-chaleur du méridien du Foie ou feu du Foie avec yeux rouges, douloureux et secs ou larmoyants. / Vide du Yin du Rein et du Foie causant la vision de mouches volantes, les troubles de la vision, les éblouissements, le vertige. / Vent de la tête par montée du Yang du Foie produisant des vertiges, de la céphalée, de la perte de l’ouïe. / Furoncles et abcès dus à la plénitude de la chaleur (avec Ye Ju Hua, Flos Chrysanthemi Indici).","Combinaisons / Plus Chuan Xiong, Rhizoma Ligustici Wallichii pour la céphalée par vent-chaleur externe ou montée du Yang du Foie. / Plus Gou Qi Zi, Fructus Lycii pour les éblouissements et la vision défectueuse par vide du Foie et des Reins. / Plus Tian Ma, Rhizoma Gastrodiae pour les vertiges et la céphalée par montée du Yang du Foie, ainsi que pour les convulsions infantiles par agitation interne du vent. / Plus Zi Hua Di Ding, Herba Violae, Pu Gong Ying, Herba Taraxaci, Ye Ju Hua, Flos Chrysanthemi Indici pour les furoncles et les plaies infectées guérissant mal. / Plus Shi Jue Ming, Concha Haliotidis, Ling Yang Jiao, Cornu Antelopis, Sheng Di Huang, Radix Rehmanniae, Chi Shao, Radix Paeoniae Rubrae pour la montée du Yang du Foie. / Plus Sang Ye, Folium Mori, Lian Qiao, Fructus Forsythiae, Bo He, Herba Menthae, Fang Feng, Radix Ledebourelliae, Bai Ji Li, Fructus Tribuli pour le vent-chaleur affectant les yeux.",5 à 10 g en infusion; jusqu’à 30 g en cas de chaleur importante.,,"vide de Qi de la Rate, avec perte d’appétit et diarrhée facile.","antibactérien, hypotenseur, antifongique, antipyrétique, anti-inflammatoire.",Ju Hua San / Qi Ju Di Huang Wan / Sang Ju Yin,
Man Jing Zi,Fructus Viticis,Vitex rotundifolia L.,fruit,piquante et amère,neutre et fraîche,"Zu Tai Yang Vessie, Zu Jue Yin Foie et Zu Yang Ming Estomac",Disperse le vent et la chaleur / Clarifie la tête et les yeux / Favorise la vue / Draine l’humidité,"Vent-chaleur externe, principalement avec céphalée éventuellement unilatérale ou douleur oculaire. / Douleurs Bi par vent-humidité avec raideur, lourdeur ou crampes musculaires des membres. / Vent-chaleur du méridien du Foie ou montée du Yang du Foie avec larmoiement, yeux rouges, congestionnés, douloureux et vision de taches.","Plus Ju Hua, Flos Chrysanthemi Morifolii pour la céphalée et les éblouissements par le vent-chaleur. / Plus Chuan Xiong, Rhizoma Ligustici et Fang Feng, Radix Ledebourelliae pour l’attaque externe de vent-humidité causant la céphalée, les courbatures généralisées, la douleur du dos et des épaules. / Plus Ren Shen, Radix Ginseng et Huang Qi, Radix Astragali pour les maladies oculaires, les bourdonnements d’oreille, les éblouissements et la surdité causés par le vide. / Plus Ju Hua, Flos Chrysanthemi Morifolii et Fang Feng, Radix Ledebourelliae pour les douleurs maxillaires et zygomatiques.",3 à 10 g en décoction (concassé).,,céphalées et problèmes oculaires dus au vide de Yin ou de Sang ; vide du Qi de l’Estomac.,"analgésique, sédatif, antipyrétique.",Man Jing Zi Tang / Yi Qi Cong Ming Tang,
Mu Zei,Herba Equiseti,Equisetum hiemale L.,plante entière,douce et amère,"neutre, sans toxique","Shou Tai Yin Poumon, Zu Jue Yin Foie et Zu Shao Yang Vésicule Biliaire",Disperse le vent-chaleur / Clarifie la vue / Elimine l’obstruction visuelle / Arrête le saignement,"Vent-chaleur externe ou vent-chaleur dans le méridien du Foie affectant les yeux et causant la congestion, la rougeur, la douleur des yeux, la vision nébuleuse, le larmoiement excessif. / Hémorroïdes saignantes.","Plus Ju Hua, Flos Chrysanthemi pour les yeux rouges, gonflés et douloureux. / Plus Bai Ji Li, Fructus Tribuli.pour les démangeaisons et le larmoiement excessif. / Plus Cang Zhu, Rhizoma Atractylodis Lanceae, pour une vision floue et un larmoiement excessif.","3 à 10 g en décoction, en poudre ou en pilule.",,urines fréquentes ; vide des liquides; vide de Qi; la grossesse.,"hypotenseur, sédatif.",Mu Zei San,
Niu Bang Zi,Fructus Arctii,Arctium lappa L.,fruit,piquante et légèrement amère,fraîche	.,Shou Tai Yin Poumon et Zu Yang Ming Estomac,Disperse le vent et la chaleur / Elimine les toxiques / Elimine les glaires / Calme la toux / Diminue les démangeaisons / Favorise les éruptions / Réduit les gonflements / Adoucit la gorge / Humidifie les Intestins,"Atteinte externe par vent-chaleur avec fièvre, toux, gorge rouge, gonflée et douloureuse. / Rougeole avec éruption défectueuse. / Chaleur toxique avec furoncles, abcès non suppurés, érythèmes, oreillons. / Constipation due au vent-chaleur.","Plus Jie Geng, Radix Platycodi pour le gonflement de la gorge et la toux avec expectoration productive dus au vent-chaleur. / Plus Bai Zhi, Radix Angelicae Dahuricae, Jie Geng, Radix Platycodi et Jin Yin Hua, Flos Lonicerae pour le gonflement et la douleur des abcès et furoncles non purulents. / Plus Lian Qiao, Fructus Forsythiae pour le gonflement et la douleur de la gorge ainsi que les ulcérations de la langue et de la bouche.",3 à 10 g en décoction standard.,,vide de Qi de la Rate et diarrhée ; furoncles et abcès suppurants.,"antibactérien, antifongique, antipyrétique, hypoglycémique sanguin; laxatif.",Niu Bang Tang / Yin Qiao San,
Sang Ye,Folium Mori,Morus Alba L.,feuille,douce et légèrement amère,fraîche,Shou Tai Yin Poumon et Zu Jue Yin Foie,Disperse le vent et la chaleur / Clarifie la chaleur du Poumon / Ouvre le Poumon / Purifie le Foie / Clarifie la vue / Rafraîchit le Sang et arrête le saignement,"Vent-chaleur externe avec fièvre, céphalée, toux. / Chaleur du Poumon avec toux et expectoration épaisse et jaune. / Sécheresse-chaleur du Poumon avec toux et bouche sèche. / Vent-chaleur du méridien du Foie ou vide du Yin du Foie causant des problèmes oculaires tels que les yeux rouges, douloureux et secs ou la vision de mouches volantes. / Hémoptysie et vomissement de sang dus à la chaleur du Sang.","Plus Ju Hua, Flos Chrysanthemi Morifolii pour le vent-chaleur causant la toux, les yeux rouges, gonflés et douloureux. / Plus Ju Hua, Flos Chrysanthemi Morifolii, Bo He, Herba Menthae, Jing Jie, Herba Schizonepetae pour le vent-chaleur externe. / Plus Ju Hua, Flos Chrysanthemi Morifolii, Jie Geng, Radix Platycodi, Ku Xing Ren, Semen Armeniacae Amarae, Sha Shen, Radix Glehniae pour calmer la toux par vent-sécheresse. / Plus Ju Hua, Flos Chrysanthemi Morifolii, Shi Jue Ming, Concha Haliotidis, Mu Li, Concha Ostreae pour la montée du Yang du Foie causant des vertiges et des éblouissements. / Plus Ju Hua, Flos Chrysanthemi Morifolii, Ling Yang Jiao, Cornu Antelopi, Gou Teng, Ramulus Uncariae cum Uncis pour les crampes et les spasmes causés par le vent du Foie. / Plus Ju Hua, Flos Chrysanthemi Morifolii, Xia Ku Cao, Spica Prunellae, Mu Zei, Herba Equisetl pour le feu du Foie causant les yeux rouges, gonflés et douloureux. / Plus Hei Zhi Ma, Semen Sesami Indici et Gou Qi Zi, Fructus Lycii pour les difficultés de vision dues au vide du Foie.",3 à 10 g en décoction; 6 à 9 g en poudre (à prendre avec de l’eau de riz pour la transpiration nocturne).,"un dosage anormalement élevé, soit 250 fois la dose normale humaine, peut causer des lésions des reins et du foie chez la souris.",,"hypoglycémiant, antibactérien.",Sang Ju Yin / Sang Xing Tang,
Sheng Ma,Rhizoma Cimicifugae,Cimicifuga foetida L.,racine,"piquante, douce et légèrement amère",fraîche,"Shou Tai Yin Poumon, Zu Tai Yin Rate, Shou Yang Ming Gros Intestin et Zu Yang Ming Estomac",Libère la surface / Favorise les éruptions / Elimine la chaleur et les toxiques / Fait remonter le Yang et redresse l’effondrement Fait descendre le trouble,"Vent-chaleur avec rougeole et éruption défectueuse. / Vide du Qi de la Rate et de l’Estomac et signes d'effondrement avec prolapsus rectal, utérin ou stomacal et diarrhée chronique. / Chaleur toxique du Yang Ming-Estomac avec céphalée, douleurs dentaires, gencives gonflées et douloureuses, lèvres ou gencives ulcérées. / Vent-chaleur externe causant le mal de gorge. / Abcès, furoncles et maladies de la peau par chaleur toxique.","Plus Huang Qi, Radix Astragali et Dang Shen, Radix Codonopsitis pour la ptose d’organes. / Plus Niu Bang Zi, Fructus Arctii pour faire sortir les éruptions du feu toxique. / Plus Sheng Shi Gao, Gypsum Fibrosum pour la plénitude chaleur et le feu toxique dans le méridien de l’Estomac et Huang Lian, Rhizoma Coptidis pour clarifier le feu du Coeur dans le traitement du gonflement des gencives, la douleur dentaire, les ulcérations de la bouche et de la langue. / Plus Bai Zhi, Radix Angelicae Dahuricae pour la céphalée du type Yang Ming. / Plus Chai Hu, Radix Bupleuri pour faire remonter le Yang dans les diarrhées et prolapsus.",3 à 9 g en décoction.,"Ld50 de l’extrait alcoolique est de 700 mg/kg en injection intra-veineuse chez la souris. Un dosage trop important cause les effets secondaires suivants : céphalée, vertige, vomissement, tremblements, érections anormales.",chaleur par vide de Yin; plénitude du haut et vide du bas; rougeole avec éruptions normales; Qi contraire du Poumon avec difficultés respiratoires.,"antipyrétique, anti-inflammatoire, analgésique, anticonvulsif, antispasmodique intestinal, antibactérien,","Sheng Ma, Rhizoma Cimicifugae est une herbe-guide des méridiens du Gros Intestin, de l’Estomac, du Poumon et de la Rate. / On l’utilise également comme guide pour faire monter d’autres herbes vers la partie supérieure du corps.",
Ye Ju Hua,Flos Chrysanthemi Indici,Chrysanthemum indicum L.,fleur,amère et piquante,fraîche,Zu Jue Yin Foie et Shou Tai Yin Poumon,Elimine la chaleur et les toxiques / Elimine le feu du Foie,"Chaleur toxique causant les abcès, furoncles, etc. / Feu du Foie causant la congestion des yeux, le larmoiement, la photophobie, la céphalée, l’irritabilité, le visage rouge, le pouls en corde et rapide.","Plus Jin Yin Hua, Flos Lonicerae et Pu Gong Ying, Herba Taraxaci pour les furoncles, abcès, etc. dus à la chaleur toxique.",6 à 15 g en infusion.,,,"antibactérien, antimicrobien, anti-inflammatoire, stimulateur de la phagocytose des leucocytes, hypotenseur.",Wu Wei Xiao Du Yin,
